geonameid,name,asciiname,alternatenames,latitude,longitude,feature class,feature code,country code,cc2,admin1 code,admin2 code,admin3 code,admin4 code,population,elevation,dem,timezone,modification date
2158626,Marrickville,Marrickville,"Marrickville,marikkubiru,??????",-33.90318,151.15176,P,PPL,AU,,2,15200,,,23161,,18,Australia/Sydney,8/04/2014
2158651,Maroubra,Maroubra,"Maroubra,Maroubra Beach,marubura,???????,????",-33.95,151.23333,P,PPL,AU,,2,16550,,,26538,,24,Australia/Sydney,25/06/2013
2159045,Maitland,Maitland,"MTL,Maitland,Mehjtlend,Mejtland,Mejtlend,West Maitland,mei te lan,????????,????????,????????,???????,?????????,???",-32.73308,151.5574,P,PPL,AU,,2,15050,,,67132,,16,Australia/Sydney,25/06/2013
2159220,Mackay,Mackay,"MKY,Mackay,Makaj,Makej,Makkaj,maekai,mai kai,makkai,mkay,?????,?????,?????,??????,????,????,?????,????,??,???",-21.15345,149.16554,P,PPL,AU,,4,34770,,,74219,,11,Australia/Brisbane,25/06/2013
2159851,Liverpool,Liverpool,"Liverpool,lywrpwl  astralya,???????? ????????,?????????,?????? ???????",-33.9,150.93333,P,PPL,AU,,2,12850,,,21317,,11,Australia/Sydney,2/02/2012
2160063,Lismore,Lismore,"LSY,Lismor,Lizmor,li si mo er,lijeumo-eo,lismori,lsmwr,lysmwr  astralya,rizumo,??????,??????,?????,??????? ????????,???????,????,????,????",-28.81354,153.2773,P,PPL,AU,,2,14850,,,30086,,11,Australia/Sydney,25/06/2013
2160517,Launceston,Launceston,"LST,Launceston,Launcestown,Lonseston,Patersonia,lang sai si dun,lansstwn  tasmany,lonseoseuteon,ronsesuton,?????????,????????? ???????,????????,??????????,???????,????,????",-41.43876,147.13467,P,PPL,AU,,6,64010,,,106153,,11,Australia/Hobart,25/06/2013
2161776,Katoomba,Katoomba,"Katoomba,Katumba,???????",-33.71977,150.30739,P,PPLA2,AU,,2,10900,,,18593,,991,Australia/Sydney,16/02/2012
2163137,Hornsby,Hornsby,,-33.70244,151.09931,P,PPL,AU,,2,14000,,,19863,,186,Australia/Sydney,25/06/2013
2163355,Hobart,Hobart,"Chompart,Gobart,Gorad Khobart,HBA,Hobart,Hobart Town,Hobarta,Hobartas,Hobarto,Hobat,Hob?rta,Khobart,Khoubart,he ba te,hobarata,hobart,hobarta,hobateu,hobato,hopart,huo ba te,hwbart,???????,??????,????? ??????,??????,???????,??????,??????,?????,??????,???????,??????,???????,????????,????????,???????,??????????,???????,????,???,???,???",-42.87936,147.32941,P,PPLA,AU,AU,6,62810,,,216656,,19,Australia/Hobart,25/06/2013
2164422,Griffith,Griffith,"GFF,Griffit,Griffith,gripiti,gryfyt  astralya,???????,??????,??????? ????????,???????",-34.28853,146.05093,P,PPL,AU,,2,13450,,,15455,,128,Australia/Sydney,28/02/2012
2164515,Greensborough,Greensborough,,-37.70462,145.10302,P,PPL,AU,,7,20660,,,20214,,75,Australia/Melbourne,4/06/2011
2164691,Granville,Granville,"Granville,Granville Junction",-33.83333,151.01667,P,PPL,AU,AU,2,16250,,,22889,,12,Australia/Sydney,18/01/2012
2164837,Goulburn,Goulburn,"GUL,Golbern,Goulbern,Goulburn,Gulbern,golbeon,goulberni,gu er ben,gwlbrn,???????,????????,???????,??????,?????????,?????,???,??",-34.75155,149.72086,P,PPL,AU,,2,13310,,,20940,,642,Australia/Sydney,28/02/2012
2165087,Gold Coast,Gold Coast,"City of Gold Coast,Costa Dorada,Gold,Gold Coast,Gold Koust,OOL,gorudokosuto,huang jin hai an,???? ?????,????????,?????????,????,????",-28.00029,153.43088,P,PPL,AU,,4,33430,,,591473,,12,Australia/Brisbane,6/10/2013
2165478,Gladstone,Gladstone,"GLT,Gladstone,Glehdston,????????",-23.84761,151.25635,P,PPL,AU,,4,33360,,,30489,,22,Australia/Brisbane,5/01/2014
2165798,Geelong,Geelong,"Dzhelong,Dzhilong,Dzilong,Dzilongas,Džilongas,GEX,Geelong,Zhelon,ghylwngh,gilonga,gylang,gylwng,jeollong,ji lang,jilongi,jirongu,jylan,??????,???????,???????,?????,??????,?????,??????,??????,??????,???????,?????,??,??",-38.14711,144.36069,P,PPL,AU,,7,22750,,,226034,,23,Australia/Melbourne,31/07/2013
2166143,Frankston East,Frankston East,"Frankston East,Frenkston,?????????",-38.13333,145.13333,P,PPL,AU,,7,22170,,,34457,,10,Australia/Melbourne,18/01/2012
2166309,Forster,Forster,"FOT,Forster",-32.18136,152.51715,P,PPL,AU,,2,13400,,,17591,,7,Australia/Sydney,16/06/2014
2167280,Epping,Epping,,-33.77271,151.08184,P,PPL,AU,,2,16250,,,18969,,97,Australia/Sydney,4/06/2011
2167312,Engadine,Engadine,Engadine,-34.06564,151.01266,P,PPL,AU,,2,17150,,,17937,,125,Australia/Sydney,26/06/2014
2167817,Echuca,Echuca,"ECH,Echuca,Ichuka,?????",-36.14057,144.75185,P,PPL,AU,,7,21370,,,19457,,100,Australia/Melbourne,29/07/2013
2167949,Earlwood,Earlwood,Earlwood,-33.95,151.1,P,PPL,AU,,2,14150,,,16564,,43,Australia/Sydney,18/01/2012
2168305,Dubbo,Dubbo,"DBO,Dabbo,Dabo,Dubbo,dabbo,dabo,?????,????,???,?????,????,??",-32.24295,148.60484,P,PPL,AU,,2,12600,,,32327,,264,Australia/Sydney,25/06/2013
2168943,Devonport,Devonport,"DPO,Devenport,Devonport,de wen gang,dwwnpwrt  tasmany,?????????,????????? ???????,????????,??????????,???",-41.17695,146.35152,P,PPL,AU,,6,61610,,,19317,,28,Australia/Hobart,28/02/2012
2169220,Deception Bay,Deception Bay,Deception Bay,-27.19354,153.02631,P,PPL,AU,,4,35010,,,16090,,13,Australia/Brisbane,28/02/2012
2169956,Cronulla,Cronulla,"Cronulla,Cronulla Beach,Gunnamatta,krona'ulla,??????????",-34.06251,151.14961,P,PPL,AU,AU,2,17150,,,16754,,29,Australia/Sydney,8/04/2014
2170078,Cranbourne,Cranbourne,Cranbourne,-38.1,145.28333,P,PPL,AU,,7,21610,,,39419,,52,Australia/Melbourne,18/01/2012
2170089,Craigieburn,Craigieburn,Craigieburn,-37.6,144.95,P,PPL,AU,,7,23270,,,19728,,186,Australia/Melbourne,18/01/2012
2171085,Coffs Harbour,Coffs Harbour,"CFS,Coffs Harbour,Kofs Kharbor,Kofs-Kharbor,ke fu si gang,kofusuhaba,kopeuseuhabeo,???? ??????,????-??????,???? ?????,????-???????,???????,????,?????",-30.29626,153.11351,P,PPL,AU,,2,11800,,,26353,,6,Australia/Sydney,25/06/2013
2171507,Wollongong,Wollongong,"City of Greater Wollongong,Gorad Vulangang,Uulongong,Vullongon,Vullongong,Vulongong,Vulongongas,WOL,Wollongong,ulleongong,urongon,vulamgamga,vulongongi,wlwngwng,wlwnjwnj,wo long gang,wo long gang shi,wwlwngwng,?????????,??????????,?????????,????? ?????????,?????????,????????,????????,?????????,?????????,??????????,?????,???,????,???",-34.424,150.89345,P,PPL,AU,,2,18450,,,292190,,29,Australia/Sydney,25/06/2013
2171845,Cessnock,Cessnock,"CES,Cessnock,Sesnok,ksnak,sai si nuo ke,??????,?????,???????,????,????",-32.83211,151.35623,P,PPL,AU,,2,11720,,,16393,,71,Australia/Sydney,28/02/2012
2172111,Castle Hill,Castle Hill,Castle Hill,-33.73333,151,P,PPL,AU,,2,10500,,,35389,,126,Australia/Sydney,18/01/2012
2172303,Carlingford,Carlingford,,-33.78269,151.04888,P,PPL,AU,,2,16250,,,21364,,105,Australia/Sydney,4/06/2011
2172311,Caringbah,Caringbah,Caringbah,-34.04726,151.12051,P,PPL,AU,,2,17150,,,21283,,56,Australia/Sydney,8/04/2014
2172517,Canberra,Canberra,"CBR,Camberra,Canberra,Canberrah,Gorad Kanbera,Kamberra,Kambra,Kampera,Kanapera,Kanbera,Kanbero,Kanberr,Kanberra,Kanberrae,Kanberre,Kanbérra,K?napera,kaenbeola,kainabara,kan pei la,kanabera,kanbera,kanbra,kanpara,kenabera,kyanabera,kyanbera,kynbra,qnbrh,???????,????? ???????,???????,???????æ,????????,????????,???????,????????,???????,?????,??????,??????,??????,???????,??????,?????????,??????,???????,???????,?????,???????,??????????,????????,???????,???????,????,?????,???,???,???",-35.28346,149.12807,P,PPLC,AU,,1,,,,367752,,571,Australia/Sydney,25/06/2013
2172686,Camberwell,Camberwell,Camberwell,-37.84205,145.0694,P,PPL,AU,,7,21110,,,19637,,47,Australia/Melbourne,26/08/2011
2172710,Caloundra,Caloundra,"CUD,Caloundra,Kalaundra,Kalundra,?????????,????????,?????????,?????????",-26.80346,153.12195,P,PPL,AU,,4,36710,,,38706,,1,Australia/Brisbane,10/07/2014
2172797,Cairns,Cairns,"CNS,Cairns,Kehrns,Kerns,Kernsa,Kernsas,K?rnsa,kai en si,karnz,keanzu,keeonseu,knz,kyrnz  kwynzland,qyyrns,?????,?????,??????,?????? ?????????,?????,???,??????????,??????,????,???,???",-16.92304,145.76625,P,PPL,AU,,4,32070,,,153075,,7,Australia/Brisbane,25/06/2013
2172832,Caboolture,Caboolture,"Caboolture,kaburucha,??????",-27.08465,152.9511,P,PPL,AU,,4,35010,,,21478,,21,Australia/Brisbane,28/02/2012
2173125,Burnie,Burnie,"BWT,Berni,Burnie,berni,bo er ni,brny,brny  tasmany,?????,?????,????,????? ???????,?????,???",-41.05584,145.90375,P,PPL,AU,,6,60610,,,19972,,29,Australia/Hobart,28/02/2012
2173323,Bundaberg,Bundaberg,"BDB,Bandaberg,Bundaberg,ban de bao,bandabergi,bwndabyrj,?????????,?????????,???????,?????????,??????????,???",-24.86621,152.3479,P,PPL,AU,,4,31820,,,70826,,17,Australia/Brisbane,25/06/2013
2173605,Buderim,Buderim,Buderim,-26.68443,153.05705,P,PPL,AU,,4,36710,,,15228,,153,Australia/Brisbane,28/02/2012
2173741,Brunswick,Brunswick,Brunswick,-37.76667,144.96667,P,PPL,AU,,7,25250,,,19867,,51,Australia/Melbourne,18/01/2012
2173911,Broken Hill,Broken Hill,"BHQ,Broken Hill,Broken-Khill,Willyama,burokunhiru,??????-????,???????",-31.96173,141.45998,P,PPL,AU,,2,11250,,,18430,,312,Australia/Broken_Hill,25/06/2013
2174003,Brisbane,Brisbane,"BNE,Brisbane,Brisbane City,Brisbano,Brisben,Brisbenas,Brizbejn,beulijeubeon,brisben,brysban,bryzbyn,bryzbyyn,bu li si ban,burisuben,pirispen,????????,???????,????????,???????,???????,???????,??????????,???????,?????,????,????",-27.46794,153.02809,P,PPLA,AU,,4,31000,,,2189878,,27,Australia/Brisbane,25/06/2013
2175411,Blacktown,Blacktown,Blacktown,-33.76667,150.91667,P,PPL,AU,,2,10750,,,39000,,67,Australia/Sydney,18/09/2012
2176187,Bendigo,Bendigo,"BXG,Bendigo,Bentinko,ban de ge,ben di ge,bendigo,?????????,???????,???????,???????,???????,?????,???,???,???",-36.75818,144.28024,P,PPL,AU,,7,22620,,,100617,,221,Australia/Melbourne,31/07/2013
2176632,Bathurst,Bathurst,"BHS,Baterst,Bathurst,Behtkherst,Betkherst,ba se si te,baeseoseuteu,batwrst  nyw sawt wlz,???????,????????,????????,???????? ??? ???? ???,???????,????????,?????,????,????",-33.41665,149.5806,P,PPL,AU,,2,10470,,,33110,,670,Australia/Sydney,25/06/2013
2176934,Banora Point,Banora Point,,-28.21298,153.53634,P,PPL,AU,,2,17550,,,27368,,4,Australia/Sydney,4/06/2011
2177091,Ballarat,Ballarat,"Balarat,Balaratas,Ballaarat,Ballarat,ba la rui te,baelleolaes,balart,bararatto,????????,???????,????????,??????,????????,?????,????,???",-37.56622,143.84957,P,PPL,AU,,7,20570,,,97937,,445,Australia/Melbourne,1/05/2014
2177671,Armidale,Armidale,"ARM,Armidale,Armidejl,a mi dai er,armdal,armideili,armydal,????????,????????,??????,???????,???????,?????????,?????,????",-30.50828,151.67123,P,PPL,AU,,2,10110,,,22673,,983,Australia/Sydney,28/02/2012
2178174,Albury,Albury,"ABX,Albury,Olberi,Olberis,aelbeoli,albry,albwry,ao er bo li,olberi,oruberi,??????,?????,??????,?????,??????,????,?????,????,???",-36.07494,146.92394,P,PPL,AU,,2,10050,,,45627,,164,Australia/Sydney,25/06/2013
2207259,South Brisbane,South Brisbane,,-27.48034,153.02049,P,PPLX,AU,,4,31000,,,60000,,15,Australia/Brisbane,8/04/2014
2208285,Randwick,Randwick,"Randwick,rndwwyq,???????,???????????",-33.91439,151.24895,P,PPL,AU,,2,16550,,,25819,,40,Australia/Sydney,8/04/2014
2208305,Dee Why,Dee Why,,-33.75,151.3,P,PPL,AU,,2,18000,,,17463,,-9999,Australia/Sydney,12/01/2012
6301965,Palmerston,Palmerston,"Palmerston,pa mo si dun,??????????,?????????,???????????,????",-12.48602,130.9833,P,PPL,AU,,3,72800,,,25000,,36,Australia/Darwin,4/06/2011
6943558,Bracken Ridge,Bracken Ridge,,-27.3171,153.03097,P,PPL,AU,,4,31000,,,15355,,27,Australia/Brisbane,26/08/2011
7281782,North Ryde,North Ryde,,-33.79677,151.12436,P,PPL,AU,,2,16700,,,17208,,79,Australia/Sydney,1/03/2012
7281807,Hoppers Crossing,Hoppers Crossing,,-37.88264,144.7003,P,PPL,AU,,7,27260,,,38108,,30,Australia/Melbourne,4/06/2011
7281838,Logan City,Logan City,"Citta di Logan,Città di Logan,Logan,Logan City,logani,luo gen shi,lwghan syty,????? ????,???? ???,??????,???",-27.63917,153.10944,P,PPL,AU,,4,34590,,,282673,,39,Australia/Brisbane,25/06/2013
7281839,Carindale,Carindale,,-27.50578,153.10236,P,PPL,AU,,4,31000,,,15135,,14,Australia/Brisbane,4/06/2011
7281840,Paramatta,Paramatta,,-33.8178,151.00348,P,PPL,AU,,2,16250,,,18448,,26,Australia/Sydney,18/09/2012
7281850,Ferntree Gully,Ferntree Gully,,-37.88461,145.29539,P,PPL,AU,,7,23670,,,24724,,125,Australia/Melbourne,4/06/2011
7302259,City of Parramatta,City of Parramatta,"City of Parramatta,Parramatta",-33.81667,151,P,PPL,AU,,2,16250,,,19745,,24,Australia/Sydney,25/06/2013
7302628,Adelaide Hills,Adelaide Hills,,-34.91118,138.70735,P,PPL,AU,,5,40120,,,60394,,426,Australia/Adelaide,25/06/2013
7302631,Canning Vale,Canning Vale,,-32.05798,115.91814,P,PPL,AU,,8,51330,,,23289,,24,Australia/Perth,4/06/2011
7302642,Glenmore Park,Glenmore Park,,-33.79068,150.6693,P,PPL,AU,,2,16350,,,19200,,48,Australia/Sydney,4/06/2011
7932612,Glen Iris,Glen Iris,,-37.85995,145.05489,P,PPL,AU,,7,26350,,,23270,,49,Australia/Melbourne,26/08/2011
7932629,Balwyn North,Balwyn North,,-37.79086,145.09386,P,PPL,AU,,7,21110,,,19968,,59,Australia/Melbourne,26/08/2011
7932636,Carnegie,Carnegie,,-37.88867,145.05713,P,PPL,AU,,7,22310,,,15084,,50,Australia/Melbourne,26/08/2011
7932638,Malvern East,Malvern East,East Malvern,-37.87397,145.04253,P,PPL,AU,,7,26350,,,19593,,60,Australia/Melbourne,7/03/2013
7932646,Brighton East,Brighton East,,-37.90141,145.01884,P,PPL,AU,,7,20910,,,15167,,19,Australia/Melbourne,26/08/2011
7932654,Booval,Booval,,-27.61328,152.78944,P,PPL,AU,,4,33960,,,20540,,34,Australia/Brisbane,26/08/2011
8015209,St Albans,St Albans,Saint Albans,-37.74496,144.80049,P,PPL,AU,,7,21180,,,33511,,70,Australia/Melbourne,2/09/2011
8347325,Endeavour Hills,Endeavour Hills,,-37.97695,145.25866,P,PPLX,AU,,7,21610,,,25000,,92,Australia/Melbourne,9/07/2012
8347717,Clayton,Clayton,,-37.91731,145.13041,P,PPLX,AU,,7,24970,,,15500,,88,Australia/Melbourne,2/09/2012
